CATEGORY_EVENT,COUNTRY_SRC,IP_DST,IP_SRC,PORT_DST,PORT_SRC
Traffic Log,MY,155.5.168.245,1.9.126.51,16129,53
Traffic Log,AU,143.214.27.58,1.41.151.71,7547,13331
Traffic Log,AU,155.6.212.71,1.40.160.106,55990,60476
Traffic Log,KR,155.6.146.117,1.11.54.122,35453,56698
Traffic Log,JP,155.6.212.55,1.0.112.224,55982,51782
Traffic Log,AU,143.46.159.74,1.43.23.233,7547,43689
Traffic Log,AU,155.6.212.71,1.40.160.106,55990,50212
Traffic Log,AU,155.6.211.183,1.41.81.95,55982,10278
Traffic Log,AU,155.6.255.41,1.42.90.46,14480,62348
Traffic Log,HK,143.46.199.23,1.36.15.4,17781,53
Traffic Log,AU,143.213.144.77,1.41.151.71,7547,13331
Traffic Log,AU,155.5.191.141,1.43.23.233,7547,14131
Traffic Log,AU,155.6.53.229,1.43.23.233,7547,11898
Traffic Log,VN,150.137.57.82,1.55.243.84,50788,53
Traffic Log,AU,143.212.14.62,1.41.151.71,7547,13331
Traffic Log,AU,141.190.24.133,1.41.151.71,7547,13331
Traffic Log,AU,155.5.212.69,1.40.210.24,55990,10077
Traffic Log,AU,141.190.31.194,1.41.151.71,7547,13331
Traffic Log,AU,143.46.163.108,1.43.23.233,7547,29496
Traffic Log,AU,143.212.128.179,1.43.23.233,7547,43689
Traffic Log,IN,155.5.41.227,1.22.196.107,49133,53
Traffic Log,IN,143.212.89.139,1.22.214.30,55603,53
Traffic Log,MY,143.212.139.208,1.9.44.249,2938,53
Traffic Log,IN,143.46.166.128,1.22.170.16,9438,53
Traffic Log,JP,155.6.212.55,1.0.112.224,55982,56496
Traffic Log,IN,150.133.177.90,1.22.196.107,15974,53
Traffic Log,MY,155.6.34.158,1.9.24.193,47274,53
Traffic Log,MY,155.5.42.172,1.9.16.179,49334,53
Traffic Log,AU,143.45.9.76,1.43.23.233,7547,43689
Traffic Log,IN,150.137.251.50,1.22.196.107,34886,53
Traffic Log,AU,155.5.137.28,1.41.151.71,7547,13331
Traffic Log,MY,143.45.127.47,1.9.69.225,64905,53
Traffic Log,AU,143.213.87.155,1.43.23.233,7547,43689
Traffic Log,AU,143.214.227.64,1.43.23.233,7547,43689
Traffic Log,MY,143.214.190.184,1.9.69.225,15974,53
Traffic Log,MY,143.213.84.219,1.9.39.42,54405,53
Traffic Log,AU,143.213.101.68,1.41.151.71,7547,13331
Traffic Log,AU,143.46.165.183,1.43.23.233,7547,2672
Traffic Log,AU,141.190.229.99,1.41.151.71,7547,13331
Traffic Log,AU,155.6.243.120,1.41.151.71,7547,13331
Traffic Log,MY,143.46.146.27,1.9.69.225,4217,53
Traffic Log,MY,143.214.35.2,1.9.69.225,41646,53
Traffic Log,JP,141.190.106.208,1.21.11.161,58956,53
Traffic Log,AU,143.46.85.176,1.43.165.14,19871,12877
Traffic Log,IN,150.133.58.81,1.22.214.30,51035,53
Traffic Log,AU,155.5.195.196,1.43.23.233,7547,3897
Traffic Log,AU,141.190.193.141,1.43.23.233,7547,43689
Traffic Log,AU,155.5.212.53,1.40.141.22,55982,54062
Traffic Log,KR,143.212.157.114,1.11.132.46,44497,57107
Traffic Log,KR,155.6.212.71,1.11.183.80,55990,11525
Traffic Log,AU,155.6.250.161,1.41.151.71,7547,13331
Traffic Log,MY,143.212.102.123,1.9.69.225,58915,53
Traffic Log,IN,150.133.3.248,1.22.196.107,37122,53
